TOKEN_ID,TOKEN_NAME,body,hats,shirt,face,tier,RARITY_SCORE,Rank
5218,Cool Cat #5218,95.0,100.4615138933248,127.34615384615385,71.78661087866108,118.90561995967742,513.4998985778171,2195
4007,Cool Cat #4007,95.0,161.0573476702509,93.70754716981132,68.628,95.04784448025785,513.4407393203201,2196
5142,Cool Cat #5142,95.0,142.91004089050432,83.47058823529413,73.00851063829788,118.90561995967742,513.2947597237737,2197
3651,Cool Cat #3651,95.0,97.56358560794044,136.06849315068493,65.73563218390804,118.90561995967742,513.2733309022108,2198
8321,Cool Cat #8321,95.0,96.63440860215053,136.06849315068493,66.5,118.90561995967742,513.1085217125129,2199
4454,Cool Cat #4454,95.0,130.08478081058726,92.83177570093459,76.25333333333333,118.90561995967742,513.0755098045325,2200
5723,Cool Cat #5723,95.0,138.9946973044631,92.83177570093459,67.28235294117647,118.90561995967742,513.0144459062516,2201
6042,Cool Cat #6042,95.0,117.98387096774194,127.34615384615385,77.63348416289593,95.04784448025785,513.0113534570496,2202
6849,Cool Cat #6849,95.0,144.9516129032258,80.7560975609756,73.32051282051282,118.90561995967742,512.9338432443916,2203
3572,Cool Cat #3572,95.0,117.98387096774194,132.44,72.39240506329115,95.04784448025785,512.8641205112909,2204
8618,Cool Cat #8618,95.0,138.9946973044631,88.6875,71.1908713692946,118.90561995967742,512.7786886334351,2205
2969,Cool Cat #2969,95.0,93.95011947431303,132.44,72.39240506329115,118.90561995967742,512.6881444972815,2206
4028,Cool Cat #4028,95.0,119.37191650853889,106.80645161290322,72.39240506329115,118.90561995967742,512.4763931444107,2207
