,block_numbers,timestamps,base_fee
538,13213406,2021-09-12 21:37:02,73.943614114
539,13213407,2021-09-12 21:37:08,68.007585914
540,13213408,2021-09-12 21:37:10,71.848646432
541,13213409,2021-09-12 21:37:26,72.337898049
542,13213410,2021-09-12 21:37:31,75.552868519
543,13213411,2021-09-12 21:37:32,67.16427823
544,13213412,2021-09-12 21:37:53,61.278295173
545,13213413,2021-09-12 21:37:56,68.024819189
546,13213414,2021-09-12 21:38:37,76.516251571
547,13213415,2021-09-12 21:38:43,75.059217452
548,13213416,2021-09-12 21:39:03,74.831924476
549,13213417,2021-09-12 21:39:09,68.460718789
550,13213418,2021-09-12 21:39:31,72.146960647
551,13213419,2021-09-12 21:39:37,64.324955284
552,13213420,2021-09-12 21:39:44,61.922782086
553,13213421,2021-09-12 21:39:54,61.956015011
554,13213422,2021-09-12 21:40:09,60.718342933
